author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,narrative_status,conflict,harmony,partition,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,text_place_title,place_name,location_religion,relig_att_loc,geolocation,mentioned,location_name,location_country,short_description,wkt,locational_certainty,geometry,administrative_area,pub_year,gender_author,country_of_birth_author,author_birth_location,text_place_id,character_id,text_id,location_id,author_id,author_birth_id
"Sahni, Bhisham",Tamas,165,27,28,1,The two of them halted their horses,NA,NA,NA,NA,Deputy Commissioner,Richard,NA,27,Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,Top of hill (Alexander valley) in Tamas,Top of hill (Alexander valley),Unknown,Other-identified.Character other-attributed,CREATED,NA,Hindu Kush,Pakistan,NA,POINT(73.278809 36.897194),2. Probable location,NA,NA,1974,Male,Pakistan,Rawalpindi,176,167,34,2991,32,33
"Sahni, Bhisham",Tamas,165,27,28,1,The two of them halted their horses,NA,NA,NA,NA,Richard's wife,Liza,NA,27,Female,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,Top of hill (Alexander valley) in Tamas,Top of hill (Alexander valley),Unknown,Other-identified.Character other-attributed,CREATED,NA,Hindu Kush,Pakistan,NA,POINT(73.278809 36.897194),2. Probable location,NA,NA,1974,Male,Pakistan,Rawalpindi,176,169,34,2991,32,33
"Hosain, Attia",Sunlight on a Broken Column,314,156,156,1,THE day after the reception the Viceroy was,NA,NA,NA,NA,Viceroy,Unknown,NA,156,Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,341,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,314,156,156,1,THE day after the reception the Viceroy was,NA,NA,NA,NA,Hasan,Zahra,NA,14,Female,Single,Muslim,NA,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,318,25,22,21,22
"Pritam, Amrita",Pinjar,333,13,13,1,He had robbed her of her birthright,NA,Religion,NA,NA,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,297,37,3114,35,36
"Pritam, Amrita",Pinjar,335,14,14,1,At night she stole the key of the door,NA,Religion,NA,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,336,14,14,2,unlocked the door and stepped out of her prison.,NA,NA,NA,NA,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,337,14,14,3,Pooro rattled the chain.,NA,Religion,NA,NA,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Pooro's home, Chatto village in Pinjar","Pooro's home, Chatto village",Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,Pakistan,The place where Pooro lives. This location has no connection to reality.,POINT(73.48151 32.574085),3. Conjectural,NA,NA,1950,Female,Pakistan,Mandi Bahauddin,338,248,37,3112,35,36
"Pritam, Amrita",Pinjar,339,15,15,1,Rashida came running breathlessly towards her.,NA,NA,NA,NA,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Pooro's home, Chatto village in Pinjar","Pooro's home, Chatto village",Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,Pakistan,The place where Pooro lives. This location has no connection to reality.,POINT(73.48151 32.574085),3. Conjectural,NA,NA,1950,Female,Pakistan,Mandi Bahauddin,338,297,37,3112,35,36
"Pritam, Amrita",Pinjar,342,15,15,1,Rashida came running breathlessly towards her.,NA,NA,NA,NA,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Pooro's home, Chatto village in Pinjar","Pooro's home, Chatto village",Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,Pakistan,The place where Pooro lives. This location has no connection to reality.,POINT(73.48151 32.574085),3. Conjectural,NA,NA,1950,Female,Pakistan,Mandi Bahauddin,338,297,37,3112,35,36
